"Year","Source","TextFile","Characters","Lines"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-04-15.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-04-15.txt","5423","64"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-04-22.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-04-22.txt","4008","50"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-04-29.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-04-29.txt","4606","56"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-05-06.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-05-06.txt","11864","157"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-05-12.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-05-12.txt","1375","26"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-05-20.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-05-20.txt","8657","59"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-05-27.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-05-27.txt","3588","81"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-06-03.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-06-03.txt","5166","78"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-06-10.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-06-10.txt","7389","93"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-06-17.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-06-17.txt","7286","71"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-06-25.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-06-25.txt","5102","89"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-06-25(1).docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-06-25(1).txt","5850","69"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-07-08.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-07-08.txt","4955","62"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-07-15.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-07-15.txt","2107","28"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-07-21.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-07-21.txt","1586","40"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-07-29.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-07-29.txt","4433","60"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-09-02.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-09-02.txt","6596","98"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-09-09.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-09-09.txt","15569","167"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-09-09(1).docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-09-09(1).txt","6320","98"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-09-23.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-09-23.txt","1792","36"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-09-30.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-09-30.txt","5490","167"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-10-07.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-10-07.txt","3876","54"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-10-14.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-10-14.txt","7392","76"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-10-21.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-10-21.txt","1618","26"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-10-28.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-10-28.txt","1153","15"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-11-19.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-11-19.txt","856","19"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-11-25.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-11-25.txt","3447","39"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-12-02.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-12-02.txt","3098","61"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-12-10.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-12-10.txt","3933","33"
"2025","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2025\2025-12-15.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2025\2025-12-15.txt","3253","47"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-01-14.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-01-14.txt","3691","53"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-02-04.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-02-04.txt","5037","58"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-02-10.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-02-10.txt","2369","33"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-02-17.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-02-17.txt","7362","106"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-02-25.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-02-25.txt","4557","45"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-03-03.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-03-03.txt","3133","30"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-03-10.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-03-10.txt","7126","73"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-03-17.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-03-17.txt","4747","59"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-03-24.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-03-24.txt","5039","64"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-04-07.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-04-07.txt","3005","39"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-04-14.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-04-14.txt","3633","43"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-04-21.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-04-21.txt","9270","105"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-04-28.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-04-28.txt","2982","67"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-05-06.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-05-06.txt","5657","254"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-05-13.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-05-13.txt","2031","29"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-06-02.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-06-02.txt","6002","55"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-06-09.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-06-09.txt","7154","72"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-06-23.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-06-23.txt","4312","56"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-07-02.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-07-02.txt","5371","57"
"2026","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2026\2026-07-07.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2026\2026-07-07.txt","8621","78"
